brand,name,ingredients,,,,,,,,,,,
Kiehls,Ultra Facial Cream with Squalane,"Water,Glycerin,Cyclohexasiloxane,Squalane,Bis-PEG-18 Methyl Ether Dimethyl Silane,Sucrose Stearate,Stearyl Alcohol,PEG-8 Stearate,Myristyl Myristate,Pentaerythrityl Tetraethlhexanoate,Prunus Armeniaca Kernal Oil/Apricot Kernal Oil,Phenoxyethanol,Persea Gratissima Oil/Avocado Oil,Glyceryl Stearate,Cetl Alcohol,Oryza Sativa Bran Oil/Rice Bran Oil,Olea Europaea Fruit Oil/Olive Fruit Oil,Chlorphenesin,Stearic Acid,Palmitic Acid,Disodium EDTA,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Carbomer,Prunus Amygdalus Dulcis Oil/Sweet Almond Oil,Xanthan Gum,Ethylhexylglycerin,Sodium Hydroxide,Tocopherol,Glycine Soja Oil/Soybean Oil,Pseudoalteromonas Ferment Extract,Myristic acid,Hydroxypalmitol Sphinganine,BHT,Salicylic Acid,Citric Acid",,,,,,,,,,,
Kiehls,Ultra Facial Oil-Free Moisturizer,"Water,Glycerin,Alcohol Denat.,Dimethicone,Isononyl Isononanoate,Carbomer,Imperata Cylindrica Root Extract,Dimethiconol,Caprylyl Glycol,Chlorphenesin,Sodium Hydroxide,Xanthan Gum,Pseudoalteromonas Ferment Extract,Tetrasodium EDTA,Tocopheryl Acetate,Menthoxypropanediol,Phenoxyethanol,Biosaccharide Gum-1,Acrylates/C10-30 Alkyl Acrylate Crosspolymer",,,,,,,,,,,
Kiehls,Ultra Facial Cream SPF 30,"Water,Glycerin,Octocrylene,Homosalate,Ethylhexyl Salicylate,Squalane,Butyl Methoxydibenzoylmethane,Dimethicone,PEG-100 Stearate,Glyceryl Stearate,Silica,Octyldodecanol,Stearic Acid,Phenoxyethanol,Palmitic Acid,Tocopherol,Dicaprylyl Carbonate,Steareth-100,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Ophiopogon Japonicus Root Extract,Carbomer,Chlorphenesin,Capryloyl Salicylic Acid,Caprylyl Glycol,Xanthan Gum,Dimethicone/Vinyl Dimethicone Crosspolymer,Disodium EDTA,Sodium Hydroxide,Citrus Aurantium Dulcis (Orange) Peel Oil,Limonene,Ectoin,Hydrolyzed Hyaluronic Acid,Myristic Acid,Mentha Piperita Oil/Peppermint Oil,Pseudoalteromonas Ferment Extract,Ethylhexylglycerin,Linalool,Salicylic Acid",,,,,,,,,,,
Kiehls,Ultra Facial Toner,"Water,Glycerin,Squalane,Phenoxyethanol,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Sorbitan Oleate,Ethylhexyl Salicylate,PEG-100 Stearate,Potassium Sorbate,Triethanolamine,p-Anisic Acid,Ascorbyl Glucoside,Sodium Hyaluronate,Prunus Amygdalus Dulcis Oil/Sweet Almond Oil,Prunus Armeniaca Kernel Oil/Apricot Kernel Oil,Tocopherol,Persea Gratissima Oil/Avocado Oil",,,,,,,,,,,
Kiehls,Ultra Facial Oil-Free Toner,"Water,Glycerin,Propanediol,Phenoxyethanol,Propylene Glycol,Potassium Sorbate,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Triethanolamine,Citric Acid,Imperata Cylindrica Root Extract,Pseudoalteromonas Ferment Extract,Sodium Hyaluronate,Cucumis Sativus Juice/Cucumber Fruit Extract,Caprylyl Glycol,Carbomer.",,,,,,,,,,,
Kiehls,Powerful-Strength Vitamin C Serum,"Propylene Glycol,Dimethicone,Glycerin,Ascorbic Acid,Ethylhexyl Palmitate,Cetyl PEG/PPG-10/1 Dimethicone,Dimethicone Crosspolymer,Ascorbyl Glucoside,Cyclohexasiloxane,Hydroxyethylpiperazine Ethane Sulfonic Acid,Lauroyl Lysine,Acrylonitrile/Methyl Methacrylate/Vinylidene Chloride Copolymer,Polysilicone-11,Adenosine,Hydrolyzed Hyaluronic Acid,Limonene,Isobutane,Citrus Aurantium Dulcis (Orange) Peel Oil,Citrus Limon Peel Oil/Lemon Peel Oil,Citral,Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate",,,,,,,,,,,
Kiehls,Precision Lifting & Pore-Tightening Concentrate,"Water,Butylene Glycol,Bis-PEG-18 Methyl Ether Dimethyl Silane,Methyl Gluceth-20,PEG-20,Squalane,Dimethicone,Alcohol Denat.,Octyldodecanol,Cyclohexasiloxane,Lauroyl Lysine,Carbomer,Phenoxyethanol,Tocopheryl Acetate,Hydrogenated Lecithin,Pentylene Glycol,Caprylyl Glycol,Polysilicone-11,Faex Extract/Yeast Extract,Xanthan Gum,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,PVP,Pelargonium Graveolens Flower Oil,Adenosine,Capryloyl Salicylic Acid,Disodium EDTA,Sodium Hydroxide,Glycine Soja Protein/Soybean Protein,Citronellol,Geraniol,Rosmarinus Officinalis Leaf Oil/Rosemary Leaf Oil,Linalool,Citral,Limonene",,,,,,,,,,,
Kiehls,Avocado Eye Cream,"WATER,BUTYROSPERMUM PARKII BUTTER / SHEA BUTTER,BUTYLENE GLYCOL,TRIDECYL STEARATE,PEG-30 DIPOLYHYDROXYSTEARATE,ISODECYL SALICYLATE,TRIDECYL TRIMELLITATE,PERSEA GRATISSIMA OIL / AVOCADO OIL,ISOCETYL STEAROYL STEARATE,PROPYLENE GLYCOL,DIPENTAERYTHRITYL HEXACAPRYLATE/HEXACAPRATE,SORBITAN SESQUIOLEATE,MAGNESIUM SULFATE,HYDROGENATED CASTOR OIL,SODIUM PCA,PHENOXYETHANOL,CHLORPHENESIN,HYDROGENATED JOJOBA OIL,P-ANISIC ACID,TOCOPHERYL ACETATE,ISOPROPYL PALMITATE,DISODIUM EDTA,COPPER PCA,HELIANTHUS ANNUUS SEED OIL / SUNFLOWER SEED OIL,CI 40800 / BETA-CAROTENE,CITRIC ACID",,,,,,,,,,,
Kiehls,Powerful Wrinkle Reducing Eye Cream,"WATER,GLYCERIN,CYCLOHEXASILOXANE,PROPYLENE GLYCOL,CETYL ALCOHOL,STEARYL ALCOHOL,SQUALANE,STEARIC ACID,PALMITIC ACID,PEG-100 STEARATE,CERA ALBA / BEESWAX,GLYCERYL STEARATE,NYLON-12,ALUMINUM STARCH OCTENYLSUCCINATE,PEG-20 STEARATE,PHENOXYETHANOL,BUTYLENE GLYCOL,METHYL METHACRYLATE CROSSPOLYMER,CAPRYLYL GLYCOL,PANTHENOL,TOCOPHERYL ACETATE,CHLORPHENESIN,CAFFEINE,SODIUM HYALURONATE,CALCIUM PCA,ACRYLATES COPOLYMER,ADENOSINE,SODIUM HYDROXIDE,HYDROXYPALMITOYL SPHINGANINE,COPPER PCA,ALTEROMONAS FERMENT EXTRACT,CORALLINA OFFICINALIS EXTRACT",,,,,,,,,,,
Kiehls,Midnight Recovery Eye,"WATER,HELIANTHUS ANNUUS SEED OIL / SUNFLOWER SEED OIL,SIMMONDSIA CHINENSIS SEED OIL / JOJOBA SEED OIL,PRUNUS ARMENIACA KERNEL OIL / APRICOT KERNEL OIL,SQUALANE,ALCOHOL DENAT.,CETEARYL ALCOHOL,GLYCERYL STEARATE,STEARYL ALCOHOL,CETEARYL GLUCOSIDE,OENOTHERA BIENNIS OIL / EVENING PRIMROSE OIL,BUTYROSPERMUM PARKII BUTTER / SHEA BUTTER,PHENOXYETHANOL,LITHIUM MAGNESIUM SODIUM SILICATE,CHLORPHENESIN,XANTHAN GUM,ALOE BARBADENSIS LEAF JUICE POWDER,TOCOPHEROL,RUSCUS ACULEATUS ROOT EXTRACT,LAVANDULA ANGUSTIFOLIA OIL / LAVENDER OIL,ADENOSINE,LINALOOL,ROSMARINUS OFFICINALIS LEAF OIL / ROSEMARY LEAF OIL,PELARGONIUM GRAVEOLENS FLOWER OIL,HYDROLYZED CORN STARCH,GLYCINE SOJA OIL / SOYBEAN OIL,CITRONELLOL,GERANIOL,LAVANDULA HYBRIDA OIL,CUCUMIS SATIVUS FRUIT EXTRACT / CUCUMBER FRUIT EXTRACT,LIMONENE,SILICA,CITRAL,CURCUMA LONGA ROOT EXTRACT / TURMERIC ROOT EXTRACT,SCLAREOLIDE,ROSE FLOWER OIL,JASMINUM OFFICINALE FLOWER/LEAF EXTRACT - JASMINE FLOWER/LEAF EXTRACT,CITRIC ACID",,,,,,,,,,,
