name,compared_to,compatible,text,rating
Vitamin A,Vitamin A,FALSE,May be irritating for sensitive skin.,2
Vitamin A  ,Vitamin B3 / Niacinamide,TRUE,Pairs well together.,1
Vitamin A,Vitamin B,TRUE,No incompatibility found.,4
Vitamin A ,Vitamin C,FALSE,Ingredients may not be effective together.,3
Vitamin A,Vitamin E,TRUE,No incompatibility found.,1
Vitamin A ,AHA,FALSE,May cause irritation.,4
Vitamin A ,BHA,FALSE,May cause irritation.,4
Vitamin A ,PHA,FALSE,May cause irritation.,4
Vitamin A ,Benzoyl Peroxide,FALSE,"Ingredients may not be effective together, although Tretinoin and benzoyl peroxide will still be effective.",3
Vitamin A,Hyaluronic Acid,TRUE,No incompatibility found.,1
Vitamin A ,Hydroquinone,TRUE,Do not use for more than three months. Please consult a dermatologist.,1
Vitamin A,Azelaic Acid,TRUE,Use of Vitamin A can enhnace effectiveness of Azelaic Acid.,1
Vitamin A,Bakuchiol,FALSE,May be irritating for sensitive skin. Consult a dermatologist.,3
Vitamin A,Kojic Acid,TRUE,No incompatibility found.,1
Vitamin A,Arbutin,TRUE,No incompatibility found.,1
Vitamin A,Ferulic Acid,TRUE,No incompatibility found.,1
Vitamin A,Copper Peptide,FALSE,Using copper peptides with retinols may cause irritation in already damaged skin.,3
Vitamin A,General Peptides,TRUE,No incompatibility found.,1
Vitamin A,Mushrooms,TRUE,No incompatibility found.,1
Vitamin A,Ceramides,TRUE,No incompatibility found.,1
Vitamin A,Caffeine,TRUE,No incompatibility found.,1
Vitamin A,Minerals,TRUE,No incompatibility found.,1
Vitamin A,Other,TRUE,No incompatibility found.,1
Vitamin B,Vitamin B,TRUE,No incompatibility found.,1
Vitamin B,Vitamin B3 / Niacinamide,TRUE,No incompatibility found.,1
Vitamin B,Vitamin E,TRUE,No incompatibility found.,1
Vitamin B,Vitamin C,TRUE,No incompatibility found.,1
Vitamin B,AHA,TRUE,No incompatibility found.,1
Vitamin B,BHA,TRUE,No incompatibility found.,1
Vitamin B,PHA,TRUE,No incompatibility found.,1
Vitamin B,Benzoyl Peroxide,TRUE,No incompatibility found.,1
Vitamin B,Hyaluronic Acid,TRUE,No incompatibility found.,1
Vitamin B,Hydroquinone,TRUE,No incompatibility found.,1
Vitamin B,Azelaic Acid,TRUE,No incompatibility found.,1
Vitamin B,Kojic Acid,TRUE,No incompatibility found.,1
Vitamin B,Bakuchiol,TRUE,No incompatibility found.,1
Vitamin B,Arbutin,TRUE,No incompatibility found.,1
Vitamin B,Ferulic Acid,TRUE,No incompatibility found.,1
Vitamin B,Copper Peptide,TRUE,No incompatibility found.,1
Vitamin B,General Peptides,TRUE,No incompatibility found.,1
Vitamin B,Mushrooms,TRUE,No incompatibility found.,1
Vitamin B,Ceramides,TRUE,No incompatibility found.,1
Vitamin B,Caffeine,TRUE,No incompatibility found.,1
Vitamin B,Minerals,TRUE,No incompatibility found.,1
Vitamin B,Other,TRUE,No incompatibility found.,1
Vitamin B3 / Niacinamide,Vitamin B3 / Niacinamide ,TRUE,No incompatibility found.,1
Vitamin B3 / Niacinamide,Vitamin C,FALSE,Ingredients may not be effective together.,3
Vitamin B4 / Niacinamide,Vitamin E,TRUE,No incompatibility found.,1
Vitamin B3 / Niacinamide,AHA,FALSE,"Unless combined in specially formulated products, avoid mixing niacinamide with AHA products as it causes flushing and redness. Consult a dermatologist for information about product layering these ingredients in your skincare routine. ",5
Vitamin B3/ Niacinamide,BHA,FALSE,May cause irritation as well as reduce the efficacy of the active ingredients.,4
Vitamin B3 / Niacinamide,PHA,FALSE,Not enough data on  combining PHA and niacinamide. Consult a dermatologist or use products with caution.,3
Vitamin B3 / Niacinamide,Benzoyl Peroxide,TRUE,Niacinimaide can help soothe irritation caused by Benzoyl Peroxide.,1
Vitamin B2 / Niacinamide,Hyaluronic Acid,TRUE,No incompatibility found.,1
Vitamin B3 / Niacinamide,Hydroquinone,TRUE,No incompatibility found.,1
Vitamin B3 / Niacinamide,Azelaic Acid,TRUE,The soothing property of Niacinamide pairs well with Azelaic Acid.,
Vitamin B3 / Niacinamide,Kojic Acid,TRUE,No incompatibility found.,1
Vitamin B3 / Niacinamide,Bakuchiol,TRUE,No incompatibility found.,1
